Unique Response Number,1. I agree with the above information.,2. Please select the appropriate age range.,2.a. Which subject area are you studying?,3. Have you used any Generative AI tools as part of your studies? (A generative AI tool will usually create new content from a prompt),4. Which of the following generative AI tools have you used?,"4.a. If you selected Other, please specify:",5. What devices do you use for Generative AI?,"5.a. If you selected Other, please specify:",6. What are your reasons for not using Generative AI tools in your studies?,"6.a. If you selected Other, please specify:",7. How helpful are AI tools in the following tasks?,7.1. Generating new content,7.2. Summarising content,7.3. Editing text,7.4. Revising grammar and sentence structure,7.5. Generating ideas,7.6. Research,7.7. Planning,7.8. Inspiration,7.9. Writing Communications,7.10. Summarising notes,7.11. As a discursive tool / collaborative partner,8. How do you feel about the advancements and availability of AI generative tools during your studies?,9. How much do you agree with these statements?,9.1. The use of AI in education may give an unfair advantage to those who use them.,9.2. AI tools should be available to ALL students to ensure equality.,9.3. Students trained in the use of AI tools will have more opportunities in the future.,9.4. Access to AI systems should be restricted at the University so that they do not undermine learning.,10. Are you aware of the university guidelines around the use of AI within your studies?,11. How important do you think it is that your tutors teach you how to use Generative AI tools?,11.1. Not at all important vs Very Important,12. How would you feel if academic staff used AI to mark and feedback on your assignments?,13. How would you feel if your tutors used Generative AI tools to create teaching content?,"14. If you have any other thoughts about the use of Generative AI, please write them below.",CompletionDate
1036763-1036745-110853424,Yes,45-54,Business and Law,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,No,,3,Not great - I'd prefer an objective opinion,OK,It may seem lazy and that no human or personal attention has been made to your work. What are fees paid for?,2023-05-18
1036763-1036745-110883348,Yes,45-54,Other / prefer not to say,No,,,,,Other,I am studying psychotherapy and its all about personal integration. ,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,No,,1,Not appropriate ,Not appropriate ,It a growth area but not appropriate for psychotherapy and Counselling environment ,2023-05-19
1036763-1036745-110890476,Yes,18-24,Business and Law,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,Positive,,Agree,Agree,Disagree,Disagree,,,5,No comments ,Agree,"I personally don’t think that AI generative tools can be limited or restricted among people as it offers assistance to students or anyone in that case. For academic purposes, I think it is better to increase human interaction with students and engage in-classroom , discussions and debates and introduce more fields of works where students can gain practical knowledge. ",2023-05-19
1036763-1036745-110914385,Yes,35-44,Science and Technology,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,Positive,,Agree,Strongly agree,Strongly agree,Disagree,No,,5,"not good, may affect the marking.",good,there should be some help desk to help those students not who find it difficult to handle AI. conduct AI awareness in the campus will be helpful for those students with non tech background. ,2023-05-20
1036763-1036745-110939911,Yes,18-24,Arts,No,,,,,Other,AI tools as they are are unethical,,,,,,,,,,,,,Negative,,Agree,Strongly disagree,Agree,Strongly agree,,,2,What's the point of a tutor then?,What's the point of a tutor then?,Don't. Just don't,2023-05-21
1036763-1036745-110965448,Yes,45-54,Business and Law,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Neither agree nor disagree,Agree,Agree,Yes,,3,"if it is a numerical assessment possibly, but questions that are subjective no",indifferent,"AI has its uses, but in answering questions i feel it gives unfair advantage",2023-05-22
1036763-1036745-111002243,Yes,35-44,Health,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Strongly agree,Strongly agree,Agree,No,,3,Surely their role should be to mark submissions for their modules and they would want too to give feedback? ,"I’m unsure exactly what it is, but as long as accurate with references on where the info was sourced and was up to date then yes. But again does this do all that? ","I have only now heard of it, but maybe I am showing my age. ",2023-05-22
1036763-1036745-111002681,Yes,25-34,Business and Law,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,I prefer not to say,,Strongly agree,Neither agree nor disagree,Disagree,Agree,No,,5,"If Generative AI tools are bad for students, they shouldn't be allowed to tutors. But if you can find a useful and ethical way to use AI tools, allow them to tutors and teach about them to students.","If tutors depend on AI tools to create teaching content, their role will disappear soon and replaced by AI tools. ","AI tools have emerged in market and they cannot be ignored. Even if the UoN bans them, they will remain in the market and we will face them or their users after graduation.   Please conduct an empirical study and try to find ethical means to use AI. I don't use AI tools, but I am concerned that I might lag behind AI users if I entirely ignore them. I am afraid I will become an outdated person in the future.",2023-05-22
1036763-1036745-111063861,Yes,18-24,Science and Technology,Yes,ChatGPT,,"Laptop,Phone",,,,,Very Helpful,Helpful,Helpful,Neither helpful or unhelpful,Very Helpful,Very Helpful,Helpful,Very Helpful,Helpful,Very Helpful,Neither helpful or unhelpful,Positive,,Agree,Agree,Agree,Strongly agree,Yes,,4,Fine.,"I would be ok, as long as they double check and add content where needed.",,2023-05-24
1036763-1036745-111120328,Yes,35-44,Business and Law,Yes,"ChatGPT,Night Cafe",,Laptop,,,,,Helpful,,,,Helpful,,,,,,Helpful,Positive,,Disagree,Agree,Agree,Neither agree nor disagree,,,3,,,,2023-05-24
1036763-1036745-111130685,Yes,25-34,Business and Law,No,,,,,,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Neither agree nor disagree,Agree,Agree,Yes,,3,Don’t Agre,Don’t Agree,None,2023-05-25
1036763-1036745-111137406,Yes,25-34,Business and Law,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Agree,Agree,Strongly agree,Yes,,4,,,,2023-05-25
1036763-1036745-111137579,Yes,18-24,Business and Law,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,I prefer not to say,,Disagree,Strongly agree,Agree,Disagree,No,,5,It will increase the speed of marking system,The contents will be more accurate ,"The AI can impact education system positively, therefore the staff and the students should learn, how to use the AI's in the correct way ",2023-05-25
1036763-1036745-111145033,Yes,18-24,Business and Law,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,Positive,,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,,4,Good,Good,,2023-05-25
1036763-1036745-111146816,Yes,35-44,Business and Law,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,Negative,,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,No,,1,It will not be fair. ,It sound OK but might not meet course purpose and limit student ability to be creative. ,I don't think AI should be allowed in academics for now. But in the future maybe. ,2023-05-25
1036763-1036745-111149699,Yes,25-34,Health,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,,2,in my opinion its not good,i think its not so good,,2023-05-25
1036763-1036745-111171982,Yes,35-44,Business and Law,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,2023-05-25
